Date,Open,High,Low,Close,Adj Close,Volume
2007-10-01,32.580002,34.549999,30.280001,31.510000,23.041527,400517900
2007-11-01,31.400000,31.580000,26.780001,28.559999,20.884356,406371300
2007-12-01,28.620001,29.799999,25.570000,26.940001,19.862310,330175300
2008-01-01,27.129999,31.080000,23.770000,30.639999,22.590239,482772200
2008-02-01,30.299999,30.690001,26.410000,26.549999,19.574768,356434400
2008-03-01,26.500000,30.000000,24.870001,27.969999,20.621702,375945900
2008-04-01,28.200001,30.160000,27.400000,28.799999,21.426487,315442200
2008-05-01,29.090000,30.500000,26.280001,27.360001,20.355165,358885800
2008-06-01,27.410000,28.129999,23.320000,23.420000,17.423901,367890700
2008-07-01,23.110001,25.850000,20.760000,23.830000,17.877020,397904400
2008-08-01,24.030001,28.750000,22.820000,27.120001,20.345148,407771000
2008-09-01,27.650000,30.740000,24.440001,25.889999,19.422413,621080800
2008-10-01,25.520000,26.090000,17.049999,23.590000,17.845028,628648800
2008-11-01,23.480000,23.790001,17.459999,23.110001,17.481936,459693800
2008-12-01,22.549999,25.190001,20.650000,23.020000,17.413845,439676400
2009-01-01,23.070000,25.490000,21.299999,21.530001,16.461338,431144100
2009-02-01,21.209999,23.850000,18.240000,20.889999,15.972006,454586800
2009-03-01,20.350000,24.360001,17.490000,23.559999,18.013430,533962800
2009-04-01,23.150000,27.070000,22.920000,26.320000,20.375139,398336600
2009-05-01,26.580000,26.770000,22.330000,23.160000,17.928877,425707400
2009-06-01,23.590000,25.120001,22.530001,23.629999,18.292719,350279000
2009-07-01,23.799999,26.190001,22.270000,25.940001,20.266628,299152600
2009-08-01,26.180000,27.940001,25.430000,27.290001,21.321373,343157900
2009-09-01,27.010000,28.440001,26.320000,26.639999,20.813536,255075500
2009-10-01,26.650000,28.020000,24.959999,25.090000,19.765495,327855200
2009-11-01,25.139999,27.950001,24.469999,27.360001,21.553768,324108800
2009-12-01,27.490000,29.440001,27.350000,28.930000,22.790588,272428900
2010-01-01,29.150000,29.240000,27.190001,28.010000,22.248795,305927400
2010-02-01,28.010000,31.450001,27.530001,31.200001,24.782658,358199600
2010-03-01,31.240000,32.980000,31.090000,32.349998,25.696129,311755400
2010-04-01,32.410000,37.029999,32.160000,35.230000,28.191929,371036400
2010-05-01,35.389999,36.299999,32.070000,33.860001,27.095623,522063700
2010-06-01,33.419998,34.169998,27.990000,28.070000,22.462320,445088000
2010-07-01,28.410000,29.370001,26.620001,28.510000,22.974546,375351500
2010-08-01,28.820000,29.240000,27.100000,27.820000,22.418520,279092800
2010-09-01,28.080000,32.230000,28.059999,31.680000,25.746147,235029100
2010-10-01,31.809999,32.139999,30.180000,30.900000,25.112251,248397600
2010-11-01,31.000000,32.820000,29.980000,30.209999,24.551485,285015300
2010-12-01,30.600000,35.490002,30.600000,35.060001,28.713860,242106100
2011-01-01,35.200001,38.119999,34.070000,36.770000,30.114330,229405900
2011-02-01,36.939999,39.380001,36.380001,37.470001,30.687628,174726800
2011-03-01,37.139999,37.860001,35.430000,37.060001,30.351849,225764900
2011-04-01,37.119999,38.509998,36.939999,37.150002,30.633263,192754700
2011-05-01,37.439999,37.939999,35.910000,36.279999,29.915873,205928600
2011-06-01,36.119999,36.310001,33.410000,36.220001,29.866390,267621000
2011-07-01,36.290001,37.250000,34.630001,34.930000,29.019186,200066500
2011-08-01,35.070000,35.070000,28.129999,33.380001,27.731468,451102200
2011-09-01,33.529999,35.330002,31.080000,32.869999,27.510117,280603400
2011-10-01,32.799999,37.650002,31.030001,35.799999,29.962343,242007200
2011-11-01,34.740002,39.790001,34.580002,39.220001,32.824669,231967000
