period,company,yelp_avg_rating,normalized_yelp_avg_rating,yelp_no_of_reviews,yelp_5,percentage_yelp_5,yelp_4,yelp_3,yelp_2,yelp_1,glassdoor_avg_rating,normalized_glassdoor_avg_rating,glassdoor_no_of_reviews,glassdoor_5,percentage_glassdoor_5,glassdoor_4,glassdoor_3,glassdoor_2,glassdoor_1,months_after_stock_price,stock_price_change,price_increase_or_decrease
2008_2,Macys,2.0,0.0,0.10344827586206896,0.05405405405405406,0.31785714285714284,0.0,0.058823529411764705,0.23076923076923078,0.10144927536231885,3.2976190476190474,1.0,0.0,0.01,0.8775510204081631,0.0,0.0,0.0,0.0,18.809999,1.0,0
2013_4,Macys,2.900990099009901,0.45049504950495045,0.6896551724137931,0.5675675675675675,0.5287128712871286,0.6923076923076923,0.8235294117647058,1.0,0.3188405797101449,2.84817304466751,0.46448986882370064,0.2976324689966178,0.22,0.4986821296784396,0.23728813559322035,0.3114754098360656,0.28654970760233917,0.4095238095238095,53.200001,1.0,0
2013_1,Macys,2.763888888888889,0.3819444444444444,0.4896551724137931,0.4594594594594595,0.6003968253968254,0.4230769230769231,0.5294117647058824,0.3076923076923077,0.391304347826087,2.838282906373359,0.4527058742604567,0.21645997745208567,0.09,0.27781765972720746,0.21610169491525424,0.22295081967213115,0.22807017543859648,0.24761904761904763,44.599998,1.0,0
2013_3,Macys,2.6610169491525424,0.3305084745762712,0.4,0.1891891891891892,0.3016949152542373,0.5384615384615384,0.5882352941176471,0.3076923076923077,0.2898550724637681,2.993890250300507,0.6381103691523775,0.25591882750845546,0.22,0.5775335775335775,0.2754237288135593,0.21311475409836064,0.2631578947368421,0.29523809523809524,46.110001,1.0,0
2013_2,Macys,2.6491228070175437,0.32456140350877183,0.38620689655172413,0.2702702702702703,0.44611528822055135,0.4230769230769231,0.4117647058823529,0.2692307692307692,0.3188405797101449,2.9914139411562095,0.6351598731506615,0.21082299887260428,0.11,0.3483063328424153,0.2245762711864407,0.2360655737704918,0.2046783625730994,0.1619047619047619,48.340000,1.0,0
2010_2,Macys,2.8823529411764706,0.4411764705882353,0.22758620689655173,0.13513513513513514,0.3739495798319328,0.38461538461538464,0.29411764705882354,0.15384615384615385,0.14492753623188406,2.819444444444444,0.43026004728132416,0.03945885005636979,0.01,0.1462585034013605,0.038135593220338986,0.02622950819672131,0.08771929824561403,0.02857142857142857,18.650000,1.0,0
2010_3,Macys,2.710526315789474,0.35526315789473695,0.25517241379310346,0.10810810810810811,0.2676691729323308,0.38461538461538464,0.35294117647058826,0.2692307692307692,0.15942028985507245,2.7499999999999996,0.347517730496454,0.06313416009019165,0.04,0.3900226757369614,0.03389830508474576,0.06885245901639345,0.0935672514619883,0.0761904761904762,23.670000,1.0,0
2010_1,Macys,2.85,0.42500000000000004,0.2689655172413793,0.13513513513513514,0.31785714285714284,0.38461538461538464,0.47058823529411764,0.3076923076923077,0.13043478260869565,2.9004629629629624,0.5267927501970053,0.03269447576099211,0.02,0.3412698412698412,0.0211864406779661,0.03934426229508197,0.04678362573099415,0.02857142857142857,23.200001,1.0,0
2011_2,Macys,2.872340425531915,0.43617021276595747,0.31724137931034485,0.21621621621621623,0.4328267477203647,0.38461538461538464,0.4117647058823529,0.46153846153846156,0.14492753623188406,2.745646766169154,0.34233089869799993,0.06764374295377677,0.03,0.2750533049040511,0.038135593220338986,0.08196721311475409,0.0935672514619883,0.0761904761904762,28.870001,1.0,0
2010_4,Macys,2.754385964912281,0.3771929824561404,0.38620689655172413,0.1891891891891892,0.31228070175438594,0.4230769230769231,0.6470588235294118,0.6538461538461539,0.15942028985507245,3.1831395348837197,0.8635988784430139,0.040586245772266064,0.07,1.0,0.025423728813559324,0.04262295081967213,0.04678362573099415,0.02857142857142857,23.150000,1.0,0
2008_4,Macys,2.7666666666666666,0.3833333333333333,0.2,0.08108108108108109,0.2542857142857143,0.34615384615384615,0.23529411764705882,0.23076923076923078,0.11594202898550725,3.0333333333333328,0.6851063829787232,0.02593010146561443,0.02,0.4095238095238095,0.046610169491525424,0.009836065573770493,0.011695906432748537,0.05714285714285714,8.950000,1.0,0
2015_4,Macys,2.6030534351145036,0.3015267175572518,0.896551724137931,0.6486486486486487,0.4658669574700109,1.0,0.7058823529411765,0.46153846153846156,0.8260869565217391,3.0601714474117983,0.7170837103913629,0.7519729425028185,0.68,0.6197541331072488,0.8559322033898306,0.6524590163934426,0.7134502923976608,0.7333333333333333,40.410000,1.0,0
2015_3,Macys,2.5238095238095237,0.26190476190476186,0.7172413793103448,0.6216216216216216,0.5570068027210884,0.4230769230769231,0.47058823529411764,0.7307692307692307,0.6376811594202898,3.0021824248334297,0.6479904068937322,1.0,0.91,0.6252796420581654,0.9152542372881356,1.0,1.0,1.0,50.980000,1.0,0
2015_2,Macys,2.9306930693069306,0.4653465346534653,0.6896551724137931,0.8108108108108109,0.7553041018387552,0.34615384615384615,1.0,0.5384615384615384,0.4492753623188406,2.95180533751962,0.5879666432857888,0.7655016910935738,0.46,0.41191170345689293,0.7542372881355932,0.7836065573770492,0.8830409356725146,0.6285714285714286,69.059998,1.0,0
2015_1,Macys,2.727272727272727,0.36363636363636354,0.6758620689655173,0.5135135135135135,0.48802308802308797,0.9230769230769231,0.4117647058823529,0.34615384615384615,0.5797101449275363,3.038195339017706,0.690899411028189,0.677564825253664,0.64,0.6466165413533834,0.6483050847457628,0.6786885245901639,0.7017543859649122,0.5523809523809524,64.629997,1.0,0
2012_4,Macys,2.6774193548387095,0.33870967741935476,0.4206896551724138,0.35135135135135137,0.5331797235023041,0.34615384615384615,0.47058823529411764,0.34615384615384615,0.3333333333333333,2.945864197530864,0.5808878381928029,0.19503945885005636,0.21,0.7166666666666667,0.17796610169491525,0.1540983606557377,0.23976608187134502,0.21904761904761905,39.509998,1.0,0
